team_statistic,team_weights,ai_weights,research_weights,normalized_weights
AB,0.069507494,0.04,0,0.036502
R,0.084822509,0.15,0.1,0.111608
H,0.10110611,0.08,0.05,0.077035
2B,0.054866963,0.06,0,0.038289
3B,0.034096865,0.03,0,0.021366
HR,0.05672909,0.15,0.05,0.085576
TB,0.098792192,0.1,0.1,0.099597
RBI,0.086841893,0.08,0.05,0.072281
BA,0.108379111,0.04,0.05,0.066126
OBP,0.074771752,0.12,0.2,0.131591
SLG,0.104653737,0.1,0.2,0.134885
OPS,0.100098138,0.1,0.2,0.133366
BB,0.081222155,0.05,0,0.043741
CS,0.081222155,-0.02,-0.05,0.003741
SB,0.081222155,0.02,0.05,0.050407
,,,,